"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ENSG00000248761",0,0,0,0,0,0
"ENSG00000254391",0,0,0,0,0,0
"ENSG00000279679",0,0,0,0,0,0
"ENSG00000271477",0,0,0,0,0,0
"ENSG00000184845",156,156,220,527,145,127
"ENSG00000231228",0,0,2,0,0,0
"ENSG00000248965",0,0,0,0,0,0
"ENSG00000253447",0,0,0,2,2,0
"ENSG00000254226",162,173,53,93,98,42
"ENSG00000287323",0,0,0,0,0,0
"ENSG00000171992",699,523,866,1225,653,629
"ENSG00000120725",3400,3724,1156,2132,5024,3031
"ENSG00000286749",26,47,26,23,44,15
"ENSG00000286350",0,0,0,2,0,0
"ENSG00000250346",0,2,0,1,0,2
"ENSG00000113300",8009,10157,9175,9829,18670,13128
"ENSG00000253852",0,0,0,4,0,0
"ENSG00000280318",0,0,0,0,0,0
"ENSG00000249950",0,0,0,0,0,0
"ENSG00000127743",10,12,195,147,18,40
"ENSG00000094755",0,0,0,0,12,21
"ENSG00000254135",0,0,0,0,2,0
"ENSG00000013561",7693,7890,6603,7732,11020,7747
"ENSG00000214357",1318,1349,948,1025,4811,3504
"ENSG00000254011",0,0,0,0,0,0
"ENSG00000279752",0,0,0,0,0,0
"ENSG00000286657",0,0,2,0,1,0
"ENSG00000270442",6,0,1,0,0,0
"ENSG00000039319",7214,3485,4377,2716,7356,6383
"ENSG00000285865",39,27,91,23,46,23
"ENSG00000168903",0,0,0,0,0,0
"ENSG00000253686",30,40,4,24,116,26
"ENSG00000161013",15297,19629,33454,40328,26972,21581
"ENSG00000278965",2,2,0,0,0,6
"ENSG00000039600",77,40,64,69,72,54
"ENSG00000254099",0,3,14,0,2,2
"ENSG00000164466",10859,15996,10708,10609,18726,14606
"ENSG00000248222",0,0,4,0,0,0
"ENSG00000253968",2,9,0,0,4,12
"ENSG00000213285",0,0,0,0,0,0
"ENSG00000242080",2,0,0,0,0,0
"ENSG00000249412",18,11,52,11,27,2
"ENSG00000249722",0,0,0,0,0,0
"ENSG00000242683",0,0,0,0,0,0
"ENSG00000187658",1,2,0,4,2,2
"ENSG00000249593",2,1,11,1,8,0
"ENSG00000226650",16,4,2,8,30,20
"ENSG00000248687",0,0,0,0,0,0
"ENSG00000253480",0,0,0,0,2,2
"ENSG00000253428",0,1,0,0,1,1
"ENSG00000250692",0,0,0,0,4,0
"ENSG00000198108",889,1005,1580,3219,1989,3993
"ENSG00000254336",0,0,0,0,0,0
"ENSG00000249545",0,0,0,0,0,0
"ENSG00000178776",2,0,0,0,0,2
"ENSG00000254350",2,2,0,2,3,6
"ENSG00000249484",14,14,2,2,13,0
"ENSG00000213655",2,0,0,0,0,0
"ENSG00000248308",2,0,0,0,0,0
"ENSG00000198944",70,58,286,68,190,94
"ENSG00000245317",639,914,400,623,411,143
"ENSG00000242477",4,62,2,60,28,52
"ENSG00000230612",25,19,69,30,15,20
"ENSG00000249061",11,0,10,0,2,10
"ENSG00000164402",11580,10435,9336,7953,18324,14278
"ENSG00000250309",0,0,0,0,0,0
"ENSG00000113742",10780,7974,11267,6589,11732,7608
"ENSG00000249042",204,162,111,107,238,147
"ENSG00000253959",4,2,0,0,0,0
"ENSG00000070614",15652,11980,12573,12444,37258,31665
"ENSG00000240083",0,0,0,0,0,0
"ENSG00000113269",18555,23175,12104,17158,27051,23927
"ENSG00000248362",0,0,0,0,0,0
"ENSG00000213701",0,6,0,4,5,4
"ENSG00000161011",21837,20647,55377,56147,25099,24543
"ENSG00000287203",2,0,0,0,0,0
"ENSG00000145882",1910,2274,707,1167,3543,2672
"ENSG00000272085",6,0,1,0,8,0
"ENSG00000279698",0,0,6,0,0,0
"ENSG00000152377",6227,10384,7027,14016,20762,10695
"ENSG00000248668",158,199,57,167,179,139
"ENSG00000248202",40,26,14,58,118,143
"ENSG00000113520",2,1,4,0,0,0
"ENSG00000283776",0,0,0,0,0,2
"ENSG00000286164",0,0,0,0,0,0
"ENSG00000213940",0,0,0,4,4,0
"ENSG00000253236",10,0,4,0,0,0
"ENSG00000251243",0,0,0,0,0,0
"ENSG00000254333",6,11,16,4,14,6
"ENSG00000133706",15258,17037,10985,13304,30469,20448
"ENSG00000287003",2,4,0,2,4,3
"ENSG00000248610",6,10,23,22,32,58
"ENSG00000226810",0,0,0,0,0,0
"ENSG00000250509",0,0,0,0,2,0
"ENSG00000287963",2,2,0,6,6,2
"ENSG00000251548",2,0,0,12,7,2
"ENSG00000146090",1528,1686,263,625,1066,646
"ENSG00000215231",0,0,8,0,0,0
"ENSG00000249876",6,10,6,1,3,4
"ENSG00000198939",1208,925,68,171,886,853
"ENSG00000251370",24,8,14,6,3,4
"ENSG00000251320",0,2,0,0,0,0
"ENSG00000249293",0,2,3,4,0,0
"ENSG00000251035",0,0,0,0,0,0
"ENSG00000249312",0,0,0,0,0,0
"ENSG00000253600",0,0,0,0,0,0
"ENSG00000250492",2,6,2,2,7,6
"ENSG00000249751",0,0,0,0,0,0
"ENSG00000145861",36,43,4,18,50,90
"ENSG00000250529",0,0,0,0,0,0
"ENSG00000086589",7964,10076,10616,10171,13682,14963
"ENSG00000164574",3319,2741,3156,4511,5509,8275
"ENSG00000249843",0,0,0,0,4,0
"ENSG00000251426",0,0,4,0,0,0
"ENSG00000248765",0,0,0,0,0,0
"ENSG00000270430",0,0,0,0,0,0
"ENSG00000284356",0,0,0,0,0,0
"ENSG00000164325",0,0,0,0,0,0
"ENSG00000151883",3024,1978,632,1212,2325,2451
"ENSG00000242979",0,5,4,0,6,2
"ENSG00000263746",0,0,0,0,0,0
"ENSG00000201026",0,0,0,0,0,0
"ENSG00000223007",0,0,0,0,0,0
"ENSG00000284000",0,0,0,0,0,0
"ENSG00000199773",0,0,0,0,0,0
"ENSG00000237611",0,0,0,0,0,0
"ENSG00000239112",0,1,0,1,0,1
"ENSG00000222054",0,0,0,0,0,0
"ENSG00000212258",0,0,0,0,0,0
"ENSG00000266415",0,0,0,0,0,0
"ENSG00000216077",0,0,3,0,0,0
"ENSG00000212305",0,0,0,0,0,0
"ENSG00000201715",0,0,2,0,0,0
"ENSG00000202269",0,0,3,0,0,0
"ENSG00000253093",0,0,2,0,0,0
"ENSG00000222312",0,0,0,0,0,0
"ENSG00000201436",0,0,0,0,0,0
"ENSG00000276764",0,0,0,0,0,0
"ENSG00000241552",0,0,0,0,0,0
"ENSG00000251990",0,1,2,6,1,6
"ENSG00000252908",2,0,2,1,1,0
"ENSG00000212278",0,0,0,0,0,0
"ENSG00000206814",0,0,3,2,2,0
"ENSG00000277455",0,0,0,0,0,0
"ENSG00000252083",0,0,0,0,0,0
"ENSG00000200600",0,0,0,0,0,0
"ENSG00000222560",0,0,0,0,0,0
"ENSG00000206912",0,0,0,0,0,0
"ENSG00000201016",0,0,0,0,0,0
"ENSG00000199911",0,0,0,4,0,0
"ENSG00000223136",0,0,0,0,0,0
"ENSG00000252601",0,0,0,0,0,0
"ENSG00000199731",0,0,2,0,2,0
"ENSG00000207052",0,0,0,0,0,0
"ENSG00000207956",2,0,26,0,1,0
"ENSG00000223004",0,0,0,0,0,0
"ENSG00000200065",0,0,2,0,1,2
"ENSG00000207261",0,0,0,0,0,0
"ENSG00000252373",8,0,0,0,0,0
"ENSG00000251887",0,0,0,0,0,0
"ENSG00000266243",0,1,0,0,0,0
"ENSG00000252867",0,0,0,0,0,0
"ENSG00000222743",2,0,0,0,2,0
"ENSG00000206743",0,0,4,0,1,0
"ENSG00000201368",3,0,1,0,0,0
"ENSG00000265304",0,0,0,0,0,0
"ENSG00000238441",0,1,0,0,0,0
"ENSG00000199552",1,0,2,0,0,0
"ENSG00000199361",0,0,0,0,0,0
"ENSG00000207060",0,0,0,0,0,0
"ENSG00000206606",0,0,0,0,0,0
"ENSG00000199487",0,0,0,0,0,0
"ENSG00000263556",0,0,0,0,0,0
"ENSG00000222960",0,0,0,0,0,0
"ENSG00000207627",0,0,0,0,0,0
"ENSG00000241230",0,0,0,0,0,0
"ENSG00000265421",0,0,0,0,0,0
"ENSG00000212561",0,0,0,0,0,0
"ENSG00000212265",0,0,0,0,0,0
"ENSG00000251873",0,0,0,0,0,0
"ENSG00000210678",0,0,0,0,0,0
"ENSG00000207229",0,0,0,0,0,0
"ENSG00000198983",0,0,0,0,0,0
"ENSG00000207728",0,0,0,0,0,0
"ENSG00000251856",0,0,0,0,0,0
"ENSG00000207293",0,4,0,0,12,0
"ENSG00000253032",0,0,0,0,0,0
"ENSG00000223003",0,0,0,0,0,0
"ENSG00000265135",0,0,0,0,0,0
"ENSG00000207439",0,0,0,0,0,0
"ENSG00000242547",0,0,0,0,0,0
"ENSG00000201869",0,0,0,0,0,0
"ENSG00000207352",5,0,3,0,1,0
"ENSG00000212215",0,0,0,0,0,0
"ENSG00000264099",0,0,0,0,0,0
"ENSG00000238913",1,0,0,0,0,0
"ENSG00000244326",0,0,0,0,0,0
"ENSG00000251828",0,0,0,0,0,0
"ENSG00000202601",0,0,0,0,0,0
"ENSG00000202017",0,0,0,0,0,0
"ENSG00000207391",0,0,0,0,0,0
"ENSG00000273701",0,0,0,0,0,0
"ENSG00000275634",0,0,0,0,0,0
"ENSG00000276233",0,0,0,0,0,0
"ENSG00000202157",6,0,0,0,0,0
"ENSG00000265684",2,0,0,2,0,0
"ENSG00000253073",2,0,0,0,0,0
"ENSG00000206744",0,0,0,0,0,0
"ENSG00000238835",4,1,4,1,0,0
"ENSG00000264342",0,0,0,1,0,2
"ENSG00000251951",0,0,0,0,0,0
"ENSG00000265919",0,0,0,0,0,0
"ENSG00000241243",0,2,4,0,1,2
"ENSG00000207452",0,2,4,0,0,1
"ENSG00000200462",0,0,0,0,0,0
"ENSG00000252861",0,0,0,0,0,0
"ENSG00000207013",0,0,0,0,0,0
"ENSG00000201955",0,0,0,0,0,0
"ENSG00000283359",0,0,0,0,0,0
"ENSG00000206592",0,1,8,2,0,0
"ENSG00000206698",0,1,12,0,2,0
"ENSG00000206774",0,0,0,0,0,0
"ENSG00000284078",0,0,0,0,0,0
"ENSG00000277818",0,0,0,0,0,0
"ENSG00000207129",0,0,0,0,0,0
"ENSG00000206958",0,0,0,0,0,0
"ENSG00000200884",0,0,0,0,0,0
"ENSG00000276426",0,0,0,0,0,0
"ENSG00000277506",0,0,0,0,0,0
"ENSG00000221263",0,0,0,2,0,0
"ENSG00000207077",0,0,0,0,0,0
"ENSG00000277001",0,0,2,0,0,0
"ENSG00000207269",0,0,0,0,0,0
"ENSG00000199378",0,0,0,0,0,0
"ENSG00000222987",0,0,0,0,0,0
"ENSG00000199643",0,1,0,0,0,0
"ENSG00000207404",0,0,0,0,0,0
"ENSG00000207578",0,0,1,0,0,0
"ENSG00000206997",0,0,0,0,0,0
"ENSG00000206593",0,0,0,0,0,0
"ENSG00000202512",0,0,0,6,0,0
"ENSG00000253057",0,0,0,0,4,0
"ENSG00000212370",0,0,4,0,0,0
"ENSG00000199786",0,0,0,0,0,0
"ENSG00000201910",0,0,0,0,0,0
"ENSG00000239808",0,0,0,0,0,0
"ENSG00000252881",0,0,0,0,0,0
"ENSG00000212457",2,0,0,0,0,0
"ENSG00000222598",0,0,0,0,0,0
"ENSG00000283498",549,294,475,272,322,307
"ENSG00000276047",0,0,0,0,0,0
"ENSG00000243333",0,0,0,0,0,0
"ENSG00000221436",1,0,0,0,0,0
"ENSG00000238363",0,0,0,0,0,0
"ENSG00000252185",0,0,0,0,0,0
"ENSG00000207177",0,0,0,0,0,0
"ENSG00000223179",0,0,0,0,0,0
"ENSG00000206786",0,0,0,0,0,1
"ENSG00000264536",0,0,0,0,0,0
"ENSG00000222107",0,0,2,0,0,0
"ENSG00000252514",0,0,0,0,0,0
"ENSG00000251975",0,0,0,0,0,0
"ENSG00000201790",0,0,0,0,0,0
"ENSG00000265691",0,0,0,0,0,0
"ENSG00000263432",11,16,65,25,30,18
"ENSG00000202082",0,0,2,0,0,0
"ENSG00000222609",0,0,0,0,0,0
"ENSG00000221562",0,0,1,0,0,0
"ENSG00000199455",0,0,0,0,0,0
"ENSG00000275939",2,0,0,0,0,1
"ENSG00000252337",0,0,0,0,0,0
"ENSG00000222285",0,0,0,0,0,0
"ENSG00000277859",0,0,0,0,0,0
"ENSG00000278815",0,0,0,0,0,0
"ENSG00000274934",0,0,0,0,0,0
"ENSG00000275646",0,0,0,0,0,0
"ENSG00000277524",0,0,0,0,0,0
"ENSG00000199677",0,0,0,0,0,0
"ENSG00000221287",0,0,0,0,0,2
"ENSG00000200756",0,0,0,0,0,0
"ENSG00000216009",0,0,0,0,0,0
"ENSG00000238904",0,0,0,0,0,0
"ENSG00000266478",0,0,0,0,0,0
"ENSG00000239390",0,0,0,0,0,0
"ENSG00000201423",2,0,0,0,0,0
"ENSG00000253023",0,0,0,0,0,0
"ENSG00000238374",0,0,0,0,0,0
"ENSG00000276365",0,0,0,1,0,0
"ENSG00000284182",0,0,0,0,0,0
"ENSG00000221043",0,0,0,0,0,0
"ENSG00000277968",2,0,0,0,8,13
"ENSG00000274721",2,0,1,0,7,8
"ENSG00000222213",0,0,0,0,0,0
"ENSG00000252068",0,0,2,1,0,0
"ENSG00000241963",0,0,0,0,0,0
"ENSG00000199047",0,0,1,0,0,0
"ENSG00000265237",0,0,0,0,0,0
"ENSG00000283733",0,0,0,0,0,0
"ENSG00000201532",0,0,0,0,3,0
"ENSG00000201474",0,0,0,0,0,0
"ENSG00000206819",0,0,0,0,0,0
"ENSG00000242928",0,0,0,0,0,0
"ENSG00000221430",0,0,0,0,0,0
"ENSG00000202417",0,0,0,0,0,0
"ENSG00000244501",0,0,0,0,0,0
"ENSG00000252794",0,0,0,0,0,0
"ENSG00000199035",0,0,0,0,2,0
"ENSG00000283612",0,0,0,0,0,0
"ENSG00000212529",0,0,0,0,0,0
"ENSG00000222626",0,0,0,0,0,0
"ENSG00000199219",0,0,0,0,0,0
"ENSG00000207739",0,0,0,0,3,0
"ENSG00000202345",0,0,0,0,0,0
"ENSG00000207619",0,0,0,0,0,0
"ENSG00000252169",0,0,0,0,0,0
"ENSG00000266890",0,0,0,0,0,0
"ENSG00000201277",0,0,0,0,0,0
"ENSG00000206845",0,0,0,0,0,0
"ENSG00000274994",0,0,0,0,0,0
"ENSG00000251998",0,0,0,0,0,0
"ENSG00000265160",0,0,0,0,0,0
"ENSG00000199892",0,0,0,2,0,0
"ENSG00000277912",0,0,0,0,0,0
"ENSG00000200555",0,2,0,0,0,0
"ENSG00000222852",0,0,2,0,0,0
"ENSG00000198995",0,0,0,0,0,0
"ENSG00000206686",0,0,0,0,0,0
"ENSG00000221394",0,0,0,0,0,1
"ENSG00000222448",10,8,30,8,7,15
"ENSG00000252202",3,7,29,12,18,3
"ENSG00000131183",41,7,16,0,16,2
"ENSG00000196570",0,0,0,0,0,1
"ENSG00000198055",7422,8659,7463,8124,15077,11867
"ENSG00000131188",3230,3099,3341,2737,3993,4183
"ENSG00000279821",50,32,151,9,108,168
"ENSG00000248996",2,0,4,1,1,0
"ENSG00000183258",8361,9478,5913,7697,15030,13235
"ENSG00000164296",1741,2100,656,1245,2046,1194
"ENSG00000113716",5778,4892,11371,9947,13753,8538
"ENSG00000248696",3,0,12,0,0,1
"ENSG00000241907",0,3,2,0,3,1
"ENSG00000182578",492,277,322,909,218,265
"ENSG00000214485",702,758,778,1262,493,784
"ENSG00000199409",0,0,0,0,0,0
"ENSG00000113721",6603,7687,4758,6284,7912,11100
"ENSG00000249180",0,0,4,0,0,0
"ENSG00000164307",2065,2438,1275,2134,5337,4066
"ENSG00000248734",0,0,3,0,9,0
"ENSG00000272109",4,2,0,4,5,2
"ENSG00000199540",0,0,5,0,2,0
"ENSG00000185028",12,14,18,4,12,34
"ENSG00000261434",0,0,0,0,0,0
"ENSG00000164366",6583,7146,3796,5428,9458,6802
"ENSG00000260774",138,86,63,47,165,100
"ENSG00000286001",45,28,42,27,46,13
"ENSG00000250848",11,6,49,10,25,17
"ENSG00000214278",2,2,0,0,0,0
"ENSG00000250645",0,0,2,0,0,0
"ENSG00000180104",7286,6817,5933,7055,9521,7643
"ENSG00000188242",2,2,28,1,6,9
"ENSG00000066230",253,288,244,202,821,600
"ENSG00000225138",2287,2740,1807,2690,6313,4817
"ENSG00000250385",2,0,0,6,0,0
"ENSG00000264233",0,0,0,0,0,0
"ENSG00000249650",13,15,6,0,4,6
"ENSG00000112877",1149,1077,713,700,2252,2186
"ENSG00000171368",3990,2829,4481,3576,9304,3825
"ENSG00000271781",86,66,10,16,142,136
"ENSG00000249908",0,0,0,0,0,0
"ENSG00000285522",0,0,0,0,0,0
"ENSG00000250020",0,0,0,0,0,0
"ENSG00000247872",0,8,2,0,0,0
"ENSG00000252533",0,0,0,0,0,0
"ENSG00000281398",75,52,62,67,115,42
"ENSG00000252213",0,0,0,1,0,0
"ENSG00000200959",0,0,0,0,0,0
"ENSG00000015479",345,703,633,440,2007,1260
"ENSG00000199545",2,2,21,0,1,1
"ENSG00000253015",0,0,2,0,3,0
"ENSG00000120727",18443,21645,9121,16147,27166,21546
"ENSG00000272742",0,0,0,0,0,0
"ENSG00000170482",30,33,75,18,40,29
"ENSG00000170476",6,5,31,4,2,27
"ENSG00000228672",427,507,1533,1014,797,1189
"ENSG00000170464",9561,11433,7402,8470,15016,11123
"ENSG00000200378",0,0,0,0,0,0
"ENSG00000272411",0,0,4,2,0,0
"ENSG00000251842",0,0,0,0,0,0
"ENSG00000207714",0,0,0,0,0,0
"ENSG00000200161",0,0,0,0,0,0
"ENSG00000178394",5087,4901,206,340,1461,385
"ENSG00000164398",3017,1809,1136,731,2550,524
"ENSG00000269466",0,0,0,0,21,12
"ENSG00000177034",4074,4591,3943,3372,5742,4428
"ENSG00000170231",34,15,31,16,69,10
"ENSG00000184347",196,114,359,511,807,1700
"ENSG00000152422",1928,1030,505,678,1406,1235
"ENSG00000145494",8818,11577,4213,8338,13693,9050
"ENSG00000132911",6,0,0,2,4,0
"ENSG00000069018",1197,504,1401,992,315,28
"ENSG00000243414",7,1,24,10,4,9
"ENSG00000205572",83,118,34,36,323,172
"ENSG00000135074",14009,13800,7377,4343,16757,4873
"ENSG00000287031",14,44,16,20,40,33
"ENSG00000215218",3163,2782,2016,3233,5700,3549
"ENSG00000271230",0,0,0,0,0,0
"ENSG00000037474",5021,5584,3085,3363,9303,7624
"ENSG00000145545",4648,4324,3015,4532,9784,4643
"ENSG00000248677",6,10,30,3,6,7
"ENSG00000112941",4849,6108,7063,6139,9167,9865
"ENSG00000272071",2,4,0,2,3,0
"ENSG00000283420",0,0,0,0,0,0
"ENSG00000200243",0,0,0,0,0,0
"ENSG00000215032",0,0,0,0,0,0
"ENSG00000233847",0,0,4,0,0,0
"ENSG00000279985",0,0,0,0,0,0
"ENSG00000276945",22,20,0,0,21,12
"ENSG00000188725",7024,5806,5075,5538,7710,7128
"ENSG00000169567",34532,32041,19669,35082,34538,30535
"ENSG00000186687",4350,3987,1539,2491,6654,4846
"ENSG00000169247",180,210,98,184,408,804
"ENSG00000253417",18,18,8,113,32,44
"ENSG00000145863",0,0,0,14,6,2
"ENSG00000253403",0,0,0,0,0,0
"ENSG00000118990",0,3,2,3,4,0
"ENSG00000247311",0,0,0,0,0,0
"ENSG00000249610",0,0,2,1,0,2
"ENSG00000272139",0,0,0,0,0,1
"ENSG00000249621",0,0,0,0,0,2
"ENSG00000249916",0,2,0,0,0,0
"ENSG00000287794",0,0,0,0,0,0
"ENSG00000064692",1946,2072,1372,1760,3176,2195
"ENSG00000113073",12,8,12,8,37,8
"ENSG00000222790",3,4,9,2,3,1
"ENSG00000131503",171,225,301,243,345,263
"ENSG00000254996",109,317,121,218,266,182
"ENSG00000243056",20,44,35,91,70,33
"ENSG00000283155",0,0,0,0,0,0
"ENSG00000251453",2,0,4,2,0,0
"ENSG00000240518",0,0,0,0,0,0
"ENSG00000131495",3940,7061,1749,4609,8534,5883
"ENSG00000256453",0,0,0,0,0,0
"ENSG00000112855",4828,5913,2438,3296,7723,4416
"ENSG00000146007",11246,16767,6541,12205,20880,14803
"ENSG00000250515",0,0,0,0,0,0
"ENSG00000248106",0,0,0,0,0,0
"ENSG00000279726",36,39,10,20,29,7
"ENSG00000204970",0,0,0,0,0,0
"ENSG00000204969",211,114,166,192,6261,3762
"ENSG00000255408",288,120,101,90,924,627
"ENSG00000204967",3580,2261,2525,1720,8808,3958
"ENSG00000204965",58,69,110,71,289,90
"ENSG00000081842",3582,1763,752,803,207,109
"ENSG00000204963",72,118,56,68,130,125
"ENSG00000204962",30,55,58,43,287,136
"ENSG00000204961",40,28,54,25,245,140
"ENSG00000278907",0,0,0,0,0,0
"ENSG00000250120",491,445,1087,611,1592,1938
"ENSG00000249504",0,0,0,0,0,0
"ENSG00000278946",0,0,0,0,0,0
"ENSG00000249158",2122,1036,866,618,1522,872
"ENSG00000251664",941,628,963,234,1822,1095
"ENSG00000278915",0,0,0,0,0,0
"ENSG00000278901",0,0,0,0,2,0
"ENSG00000239389",12,2,47,15,20,42
"ENSG00000279028",53,22,41,8,22,22
"ENSG00000243232",1391,528,877,270,975,477
"ENSG00000171815",98,48,2,12,46,17
"ENSG00000275038",0,2,0,4,10,6
"ENSG00000164438",14,37,2,55,233,256
"ENSG00000213393",0,1,0,1,0,0
"ENSG00000265740",0,0,0,0,0,0
"ENSG00000254256",0,0,0,0,0,0
"ENSG00000206909",0,0,0,0,0,0
"ENSG00000254012",0,1,0,0,2,3
"ENSG00000264249",0,0,0,0,0,0
"ENSG00000156427",82,30,39,30,96,128
"ENSG00000168269",8,6,0,36,44,72
"ENSG00000253219",0,0,0,0,0,0
"ENSG00000249601",2,2,0,6,0,2
"ENSG00000145936",12,0,2,2,18,10
"ENSG00000043462",0,2,0,6,8,6
"ENSG00000288615",0,0,0,0,0,0
"ENSG00000250274",0,0,0,0,2,0
"ENSG00000170445",7877,8279,5856,6032,13251,8214
"ENSG00000207317",0,0,0,0,0,0
"ENSG00000245146",175,80,57,48,143,53
"ENSG00000185129",3835,3227,4839,3612,4846,4069
"ENSG00000182700",570,570,672,652,532,398
"ENSG00000254363",20,20,21,8,20,13
"ENSG00000120306",2706,3685,4372,8810,4709,3669
"ENSG00000250069",0,2,6,2,2,0
"ENSG00000113068",5839,7011,3091,4518,11215,8590
"ENSG00000258864",0,0,0,0,0,0
"ENSG00000153037",1847,2323,1937,1933,2752,2364
"ENSG00000129625",17433,17487,10736,14618,20099,11460
"ENSG00000249947",0,11,19,14,8,10
"ENSG00000212643",0,0,0,0,0,0
"ENSG00000253321",0,1,0,0,0,0
"ENSG00000260871",24,17,16,8,27,8
"ENSG00000255647",20,13,2,0,28,4
"ENSG00000176055",2646,1930,1153,1414,2636,1868
"ENSG00000113356",1364,937,593,468,690,704
"ENSG00000176018",4648,4015,7035,4931,4334,6146
"ENSG00000280776",0,1,2,4,0,4
"ENSG00000113327",8624,6572,130,648,3795,358
"ENSG00000244073",12,19,4,30,15,11
"ENSG00000271378",0,0,8,0,0,0
"ENSG00000228212",6,2,6,0,0,0
"ENSG00000242493",5,2,0,1,0,0
"ENSG00000270558",56,140,35,86,197,248
"ENSG00000251880",3,0,17,3,1,3
"ENSG00000250539",45,48,49,10,74,56
"ENSG00000249400",0,9,8,2,1,0
"ENSG00000168944",6044,4780,5627,4624,8301,4717
"ENSG00000253146",8,0,0,0,2,0
"ENSG00000264760",0,0,0,0,0,0
"ENSG00000221552",0,0,2,5,0,0
"ENSG00000274472",0,0,0,0,0,2
"ENSG00000272197",0,0,0,0,0,0
"ENSG00000241187",0,0,0,0,0,0
"ENSG00000170271",2982,4512,3646,4857,4538,6135
"ENSG00000277039",7,14,6,0,3,2
"ENSG00000263361",2,4,15,1,5,5
"ENSG00000082516",4505,4906,3233,3390,10102,7386
"ENSG00000199279",0,0,0,0,0,0
"ENSG00000268942",12,6,2,1,10,1
"ENSG00000241991",0,0,4,0,0,0
"ENSG00000240436",0,4,6,0,0,0
"ENSG00000186105",6,2,30,8,14,12
"ENSG00000145864",547,347,208,423,1378,453
"ENSG00000288643",0,0,0,0,0,0
"ENSG00000205089",26,26,20,15,51,14
"ENSG00000187678",2308,3494,3831,2812,8761,15661
"ENSG00000196670",4337,4600,1776,2456,8936,4938
"ENSG00000131446",18744,18486,20488,17858,25271,22489
"ENSG00000153140",7887,5427,1325,2298,5848,4167
"ENSG00000182132",1075,500,78,275,1448,186
"ENSG00000113282",8670,8965,14260,11403,15214,12873
"ENSG00000086200",2832,2709,1899,1846,5176,4677
"ENSG00000113555",95,67,171,129,120,117
"ENSG00000113119",1430,1439,625,707,2343,1251
"ENSG00000112983",10769,11325,7853,7400,20900,12373
"ENSG00000113645",11355,9381,13927,10090,6284,5372
"ENSG00000158987",1077,974,1190,1057,1833,1858
"ENSG00000092421",5800,9541,6547,8108,20426,20722
"ENSG00000164188",156,122,209,393,196,180
"ENSG00000152503",6355,5034,4744,4995,12424,5967
"ENSG00000173210",1148,694,182,780,3490,307
"ENSG00000132912",17155,15136,10807,11444,24785,20415
"ENSG00000164591",436,648,448,745,1605,1159
"ENSG00000164180",2931,1463,2189,1322,2356,1132
"ENSG00000155545",6141,5123,6671,5243,7461,8633
"ENSG00000248383",236,186,381,142,523,331
"ENSG00000268799",0,0,0,0,8,0
"ENSG00000113407",19139,15540,16246,14452,28013,23944
"ENSG00000251656",0,0,0,0,6,4
"ENSG00000249516",0,0,0,0,0,0
"ENSG00000250711",0,0,0,0,0,0
"ENSG00000271788",29,32,34,17,23,24
"ENSG00000272382",2,27,9,13,0,4
"ENSG00000272144",7,14,20,11,12,9
"ENSG00000278487",0,0,0,0,0,0
"ENSG00000249779",6,18,11,9,1,0
"ENSG00000249888",0,0,6,0,0,0
"ENSG00000247763",0,2,6,0,4,4
"ENSG00000153113",3910,4556,3377,4173,7417,7234
"ENSG00000185641",444,482,556,609,361,426
"ENSG00000272265",4,6,0,0,6,0
"ENSG00000241870",0,0,0,0,0,0
"ENSG00000214295",2,0,2,0,0,1
"ENSG00000248560",0,0,0,0,0,0
"ENSG00000222937",0,0,0,0,0,0
"ENSG00000206989",0,0,0,0,0,0
"ENSG00000232174",0,0,0,0,4,0
"ENSG00000238745",0,0,0,0,0,0
"ENSG00000113013",34653,38502,42576,39264,58990,41797
"ENSG00000251543",0,0,0,0,0,0
"ENSG00000249149",4,7,0,2,6,4
"ENSG00000251493",282,303,699,579,594,532
"ENSG00000247993",0,0,0,0,0,0
"ENSG00000251604",0,0,0,0,0,0
"ENSG00000251324",0,0,0,0,0,0
"ENSG00000255883",28,35,36,67,60,64
"ENSG00000164331",3868,2422,1775,1654,2251,1351
"ENSG00000164338",1987,2309,1669,2076,3070,3206
"ENSG00000253213",6,9,2,0,5,2
"ENSG00000152700",6653,8815,9189,7777,9354,6651
"ENSG00000207459",0,0,0,0,0,0
"ENSG00000113615",4706,5175,14511,7609,7544,7856
"ENSG00000201298",0,2,0,1,0,0
"ENSG00000222266",0,0,2,1,0,0
"ENSG00000164615",11982,13518,29026,23893,12841,13166
"ENSG00000145833",10673,11811,12202,7842,20593,16481
"ENSG00000241179",0,0,0,0,0,0
"ENSG00000181904",9685,6440,7426,7262,11615,7955
"ENSG00000270892",0,4,2,0,2,2
"ENSG00000113621",14407,13482,6639,9017,15134,9767
"ENSG00000279799",59,63,32,37,69,37
"ENSG00000288081",0,0,0,2,3,0
"ENSG00000260581",4,14,24,19,9,8
"ENSG00000249035",0,7,6,5,4,8
"ENSG00000222102",0,0,0,0,0,0
"ENSG00000272112",0,0,0,0,0,0
"ENSG00000177556",3080,4069,990,2937,4780,2834
"ENSG00000253921",54,36,11,20,58,17
"ENSG00000213433",146,211,58,131,229,107
"ENSG00000145888",140,70,139,139,275,40
