"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ALDH4A1",3027,3190,653,1592,6180,4022
"ENSG00000227169",0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0
"CLCN6",4944,7091,14360,7922,11086,7693
"CELA2A",10,2,56,11,7,5
"CELA2B",16,18,45,5,23,31
"RER1",7195,7443,5810,4748,12541,9230
"PANK4",6238,6054,5817,6404,9124,5979
"ENSG00000238290",6,10,8,4,86,19
"ENSG00000225387",0,2,2,2,16,18
"VPS13D",14228,9044,15563,8655,18994,11712
"RPL10P17",0,0,2,0,0,0
"RBP7",164,248,430,568,133,97
"ENSG00000279625",0,0,0,0,0,0
"GPR157",192,208,483,405,497,388
"ZBTB40",4633,3369,5678,4364,10949,4429
"ENSG00000288398",1397,1610,853,1772,2188,1403
"ENSG00000224621",10,10,4,1,19,11
"ENSG00000285833",0,0,0,0,6,5
"NPHP4",3226,2696,1596,1037,6105,5440
"ENSG00000284692",33,46,4,4,24,4
"ENSG00000284745",0,0,0,0,0,0
"ENSG00000280222",34,29,47,12,21,2
"ENSG00000285945",0,0,0,0,0,1
"HES5",1886,2426,539,4185,8151,2427
"ENSG00000233755",10,22,0,0,0,0
"ENSG00000233929",2,11,20,23,5,27
"ENSG00000271742",7,0,4,0,0,0
"ENSG00000234166",0,0,0,0,0,0
"ENSG00000235282",0,0,0,0,0,0
"SZRD1",15026,18263,10087,13102,27912,29252
"PDIK1L",5172,4190,1925,2227,6207,4579
"NECAP2",3613,3380,2777,3153,4657,5951
"ENSG00000230035",0,1,2,0,0,0
"ENSG00000225643",7,11,39,34,19,19
"ENSG00000284666",81,51,7,4,44,6
"ENSG00000228943",1,0,0,0,0,0
"ENSG00000234397",16,4,0,0,7,0
"ENSG00000284309",4,0,0,0,0,0
"LAPTM5",138,70,37,26,96,34
"SLC30A2",138,48,18,0,26,22
"PHACTR4",6770,8792,7772,7311,16301,15351
"ENSG00000233419",0,0,0,0,0,0
"ENSG00000235263",68,47,8,34,27,2
"ENSG00000228176",0,1,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0
"CNKSR1",252,182,363,162,321,110
"FAM110D",46,31,8,58,146,48
"MED18",2895,2720,2141,1960,3389,2415
"EEF1A1P46",0,3,0,5,3,2
"ENSG00000271398",0,3,6,4,0,0
"ENSG00000225011",2,0,0,0,1,0
"ENSG00000235069",0,0,0,0,0,0
"ENSG00000284676",6,14,0,5,0,0
"MMEL1-AS1",24,29,17,36,4,5
"LINC01648",2,4,0,0,7,0
"SLC9A1",3771,4480,2718,3496,6005,6907
"LDLRAP1",718,970,383,815,2074,1960
"ATP5IF1",5040,9525,1681,5151,12258,7741
"ENSG00000229044",4,0,1,1,0,4
"SDC3",22743,12670,5721,9402,73069,36550
"PAFAH2",4256,4278,1000,1392,4485,1554
"ENSG00000214812",0,0,0,0,0,0
"DNAJC8",23461,20186,13710,19092,30485,23298
"ENSG00000229447",16,27,75,14,38,13
"ENSG00000229607",0,0,0,0,0,0
"SESN2",6102,6299,4870,5582,11416,11269
"SERINC2",1279,2546,2646,4215,5050,7205
"AJAP1",5417,5521,5492,4776,3543,1694
"PTAFR",58,55,2,174,110,40
"NKAIN1",4934,4555,1024,4468,21361,12534
"SNRNP40",5839,8726,2624,5002,11936,9725
"SLC25A33",2696,1743,3877,2949,2772,3427
"ENSG00000270927",0,0,2,0,0,0
"GJB3",0,2,20,2,2,2
"LINC01756",0,0,0,0,2,0
"DNAJC16",2603,3435,2528,2663,5902,3926
"EYA3",2742,3417,3041,3112,7682,5287
"ZNF593",0,0,0,0,0,0
"FABP3",966,934,667,1076,1598,935
"EPHA2",14153,14294,73163,49075,14081,36519
"LINC02780",0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0
"ARHGEF19",1167,1181,425,934,1437,1208
"KAZN-AS1",3,0,0,8,4,0
"ENSG00000270605",54,63,120,31,67,39
"KAZN",6974,7508,11843,11010,11002,9403
"ENSG00000235084",102,119,9,69,112,51
"LOC400748",0,0,0,0,0,2
"ENSG00000225478",2,0,0,0,0,0
"TNFRSF1B",221,282,197,206,4212,1719
"TMEM51-AS2",0,2,0,0,0,0
"ENSG00000233372",0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0
"ENSG00000284543",0,0,0,0,2,0
"UBE4B",10005,11244,13991,11791,20980,17201
"TMEM51-AS1",111,108,347,194,130,140
"PLA2G5",269,126,12,194,52,86
"PTPRU",11807,18479,19291,21475,37337,37374
"ZMYM6",1275,1400,1046,997,1806,1189
"ENSG00000232768",0,8,6,3,0,0
"FTLP18",0,0,0,0,0,0
"GJB5",21,8,57,57,29,13
"AGO4",8034,7153,5172,4849,13792,7122
"CDCA8",4443,7594,891,2383,11905,13935
"ENSG00000272420",15,97,22,30,32,52
"CPLANE2",1126,787,696,744,1882,881
"ZBTB8B",599,853,779,356,1744,786
"ENSG00000272510",0,6,0,0,0,2
"LINC02810",18,16,8,22,16,15
"ENSG00000232273",0,0,2,0,10,2
"PAX7",3925,6946,652,768,3592,1300
"LOC124903825",0,0,0,0,0,0
"ENSG00000223589",0,0,4,0,0,0
"EXTL1",4834,4071,657,854,3912,1205
"CASZ1",4288,3768,5109,4539,10322,5766
"AGMAT",18,50,9,48,126,62
"ENSG00000237301",58,37,18,9,77,17
"DNALI1",4480,4595,1948,1713,4591,2696
"ENSG00000227527",28,69,14,47,73,64
"RRAGC",1849,3031,3639,4945,4352,5271
"ENSG00000228589",83,319,80,190,384,276
"GRIK3",11613,8642,1967,2273,34634,35103
"PLA2G2D",2,0,0,0,2,0
"YRDC",1797,2105,2057,1913,3045,2573
"ENSG00000230163",0,0,0,0,0,0
"ENSG00000227538",0,1,0,2,0,0
"ENSG00000236500",0,0,0,0,0,0
"GUCA2B",0,0,0,0,0,0
"RCC2",16460,25675,8759,15575,42154,37100
"HSPA5P1",2,19,8,15,19,9
"LOC124904027",6,0,0,0,4,0
"ENSG00000237329",0,1,0,2,0,0
"ENSG00000236948",4,0,0,0,2,0
"PSMB2",13661,17670,8285,12431,26935,22066
"ENSG00000274944",0,1,0,0,3,1
"CASP9",2397,2674,1398,2304,4473,4248
"DDI2",3520,3469,4825,2913,7573,6424
"ENSG00000284748",28,35,30,18,9,0
"ENSG00000272078",110,193,378,607,615,310
"UQCRH",26816,24284,25945,29515,22875,17557
"MIR3659HG",418,487,610,843,419,561
"ENSG00000233728",0,0,0,0,0,0
"RPS29P6",1,0,6,5,0,0
"ENSG00000231606",0,0,0,1,4,0
"ENSG00000215900",0,0,0,0,2,0
"ENSG00000284632",0,1,0,0,1,0
"ENSG00000241014",6,11,14,7,22,12
"THRAP3",28816,28875,19921,20966,43522,38756
"ENSG00000254553",0,0,4,2,2,0
"ENSG00000284653",0,0,0,0,0,0
"ENSG00000237749",12,20,2,26,12,12
"PADI6",1,0,0,0,0,0
"ENSG00000284705",200,194,6,42,345,210
"ENSG00000228776",0,0,0,0,0,0
"PADI4",0,0,0,0,2,0
"C1orf122",12718,12841,7460,12134,12300,7454
"LINC01654",0,0,0,0,0,0
"EPHA10",4359,2121,535,678,2095,994
"FHL3",606,665,1151,1425,2059,1730
"ENSG00000284743",0,0,0,0,0,0
"RHBDL2",34,46,128,128,41,44
"INPP5B",1618,2049,912,1260,3344,3224
"CFAP144",221,215,36,229,196,257
"ZMYM4",13140,12269,8373,8872,29050,20045
"UTP11",4555,6022,3674,3788,7234,6243
"ENSG00000271741",0,0,0,0,1,0
"ENSG00000214141",4,10,2,9,2,2
"C1orf216",3997,3656,1872,4552,9709,3887
"ENSG00000224751",0,2,6,0,8,0
"ACTL8",62,65,8,24,19,16
"ENSG00000230585",0,2,9,4,16,4
"RLF",8840,7593,9617,5820,15230,14984
"ENSG00000284989",0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0
"CLSPN",1791,3357,594,784,7457,7493
"ENSG00000255811",0,1,0,0,0,0
"GNL2",7528,8637,15340,8281,13817,10093
"GJA4",0,1,24,0,6,0
"TUBAP8",0,0,0,0,0,0
"ENSG00000225142",0,0,0,2,0,0
"ENSG00000230138",0,5,0,5,0,2
"ENSG00000223390",0,1,11,0,0,3
"LOC124904023",6,0,0,0,0,0
"ENSG00000225671",0,1,0,2,0,0
"MORN1",1853,1407,620,858,3252,2807
"ENSG00000226147",0,1,6,2,1,0
"TTC22",50,65,0,230,34,64
"RPL6P1",0,10,0,16,0,0
"TIE1",0,0,10,1,46,14
"MYCBP",833,808,341,408,1460,1325
"DLGAP3",2577,1830,1444,1655,5067,1191
"GOT2P1",0,0,0,0,0,0
"ENSG00000236723",12,22,8,4,16,5
"ENSG00000232467",0,2,2,0,0,0
"RIMS3",14991,9481,6938,9610,40463,15178
"ECHDC2",3154,2009,1229,2147,2997,863
"RAB3B",19993,11731,6064,7112,38763,9418
"SMIM12",3155,3799,1234,2769,5636,5218
"ENSG00000225779",0,2,0,0,2,0
"LOC105378736",0,0,0,0,2,0
"ENSG00000237130",0,0,0,0,0,0
"TMEM61",0,5,0,2,9,2
"ENSG00000227416",2,0,0,0,0,0
"CLSPN-AS1",0,0,0,0,1,1
"ENSG00000260971",72,87,11,37,135,117
"ENSG00000259832",0,0,0,0,0,0
"LINC02808",0,0,0,0,2,0
"ENSG00000238242",0,2,0,0,0,0
"ENSG00000285839",0,0,0,0,0,0
"LINC01343",24,44,147,83,21,32
"ENSG00000232762",0,0,0,0,3,0
"ERI3",11269,13059,4696,8130,14849,11051
"CZIB",5554,6484,2984,4138,6901,5546
"FAM151A",0,6,2,2,14,40
"PODN",177,140,327,218,355,304
"OSBPL9",12229,12595,8003,9264,18955,13287
"ENSG00000228121",0,2,0,0,8,6
"C1orf210",0,2,22,6,4,0
"PARS2",1022,1432,833,1321,2270,1005
"ZYG11A",103,85,52,35,105,94
"ENSG00000284686",1,9,7,16,27,34
"ZYG11B",11779,10763,15181,11637,21452,14986
"LINC01755",5,0,0,0,0,0
"CZIB-DT",14,6,21,0,34,11
"ST3GAL3-AS1",104,175,359,321,153,83
"L1TD1",0,6,12,20,24,61
"ENSG00000234318",0,0,0,0,4,1
"ENSG00000284773",66,123,74,98,35,46
"ENSG00000234481",0,1,4,2,3,0
"TXNDC12",1461,2089,961,1526,2373,2194
"ENSG00000235612",0,0,0,0,2,0
"TXNDC12-AS1",0,0,0,1,1,1
"SF3A3",13698,17358,10725,11354,26219,21625
"ENSG00000227485",0,0,0,0,0,0
"HSD52",37,22,10,21,94,10
"DOCK7-DT",70,34,41,21,70,46
"ENSG00000236646",0,4,0,0,0,0
"MTCO2P34",0,0,0,0,0,0
"ENSG00000238063",0,4,4,0,4,4
"PIGQP1",0,0,0,0,0,0
"TTC4",107,298,125,304,566,437
"KLF17",36,15,22,37,8,2
"PLPP3",11439,15030,7968,13899,32637,38650
"ENSG00000285079",2,0,0,0,0,0
"RSPO1",9908,12527,3838,7381,2468,1503
"SNIP1",4502,5046,3429,3330,5093,5905
"RPS13P2",28,308,70,528,284,290
"ENSG00000224570",0,0,0,0,0,0
"RPL23AP85",0,2,0,0,0,1
"ENSG00000278967",10,4,9,4,2,3
"CPT2",2514,2890,879,1746,3632,1808
"FOXJ3",10095,13048,12700,10792,13570,15038
"TUT4",14043,13481,11494,8958,23902,19916
"GTF2F2P2",2,2,0,5,6,6
"ENSG00000287703",0,0,6,6,1,0
"KLF18",0,0,0,0,0,0
"ENSG00000229032",0,0,1,0,0,0
"ENSG00000229294",10,4,0,2,22,0
"ENSG00000232993",0,0,0,0,0,0
"RPS15AP7",0,0,0,0,0,0
"GAPDHP51",0,2,0,0,1,0
"ENSG00000277397",0,0,0,0,0,0
"ENSG00000271200",47,14,15,24,51,29
"LINC02791",0,0,0,0,0,0
"CYP4A43P",0,0,0,0,0,0
"MAGOH",3719,6593,2346,4305,7193,7504
"DEPDC1-AS1",4,3,0,0,16,4
"ENSG00000242391",2,0,0,1,0,1
"LINC01707",1,9,30,26,8,2
"ENSG00000284808",0,2,3,0,0,2
"ENSG00000237227",0,0,0,0,0,0
"TUBB6P1",2,0,0,0,0,0
"ENSG00000116652",89,23,59,4,50,23
"CDKN2C",4867,6345,1266,2345,6751,5895
"ENSG00000285778",24,0,0,0,35,2
"ENSG00000233407",0,0,0,0,0,0
"ENSG00000225675",28,10,14,12,45,5
"ELOCP18",0,0,0,0,0,0
"C1orf87",4,4,4,0,2,3
"ENSG00000280317",0,0,0,0,0,0
"ZSWIM5",11337,10568,2859,4784,17042,8335
"OMA1",847,1013,753,911,981,702
"SLC35D1",2392,2661,1745,1447,3910,3620
"ENSG00000227644",0,0,0,0,0,0
"LRP8",6723,5690,3046,4437,11010,4156
"TCEANC2",2509,2690,1786,1616,5047,3444
"KTI12",650,796,525,799,767,724
"LRRC42",4438,6237,5708,6894,8601,9167
"ENSG00000234204",0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0
"GDI2P2",12,12,18,12,22,14
"LINC01360",0,0,0,0,0,0
"ENSG00000237552",0,2,0,0,0,4
"KANK4",271,184,186,322,375,561
"ENSG00000227556",0,0,0,0,0,0
"USP1",17896,14812,13039,9865,22683,26364
"ERI3-IT1",8,0,70,0,1,9
"ENSG00000233271",0,0,0,0,0,0
"ENSG00000285954",8,0,0,4,0,0
"ENSG00000233333",0,0,0,0,0,0
"AK5",486,477,1255,1492,1098,1372
"ENSG00000234108",0,0,0,0,0,0
"ADH5P2",0,2,0,0,2,0
"ENSG00000225167",4,0,0,0,0,0
"ENSG00000213579",0,2,0,0,0,0
"GIPC2",15,5,10,10,13,18
"ENSG00000237852",1,7,0,4,1,0
"RPE65",78,40,0,80,46,64
"ANGPTL3",4,3,10,4,6,14
"ENSG00000285407",10,1,0,43,0,0
"ENSG00000272855",29,44,47,55,42,98
"ENSG00000270549",0,0,0,0,0,0
"ENSG00000237163",0,0,0,0,0,0
"KRT8P21",0,0,0,0,0,0
"DNAJC6",11391,10322,3460,4159,13656,4264
"AK4",4738,8583,3516,3552,7356,19125
"LEPROT",7379,8523,4447,8435,7917,7749
"RPL31P12",0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,0,0
"ENSG00000233664",0,0,0,0,0,0
"CACHD1",2958,3043,2805,3606,6593,5953
"ENSG00000213703",0,0,0,0,0,0
"EFCAB7",3153,1499,1033,1018,2207,1404
"ENSG00000223479",0,0,0,0,0,0
"ENSG00000233674",2,6,6,4,2,6
"MCOLN2",0,8,16,34,16,2
"ST6GALNAC5",1286,921,362,492,1731,2290
"ATG4C",2609,2542,1737,1929,2840,2812
"ENSG00000285041",0,6,4,0,0,2
"ENSG00000285808",0,0,0,0,1,0
"ENSG00000229440",0,0,0,0,0,0
"COX6CP13",13,12,4,1,23,0
"ENSG00000213540",3,2,43,8,23,8
"ENSG00000277670",0,0,0,0,0,0
"PDE4B-AS1",0,0,0,0,0,0
"ASB17",0,0,0,0,0,0
"ENSG00000230498",16,0,3,0,0,4
"ENSG00000285782",0,0,0,0,3,0
"ADGRL4",1,0,16,17,0,0
"ENSG00000224493",0,0,0,0,3,0
"GJA9",0,1,3,9,0,3
"ENSG00000272371",0,7,2,0,7,8
"ENSG00000287647",0,0,2,0,4,3
"ENSG00000229225",0,0,0,0,0,0
"ENSG00000230863",14,5,8,8,6,0
"ENSG00000287224",0,0,0,2,0,0
"ENSG00000225598",0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0
"LOC105378798",0,1,4,5,2,7
"ENSG00000280378",20,33,60,7,27,14
"MTF1",2806,2437,3849,2330,4863,4937
"ENSG00000230053",0,0,0,0,0,0
"TTLL7",7510,6639,5436,2720,6617,4531
"ENSG00000224326",0,0,0,0,2,0
"ENSG00000286548",50,20,9,3,65,16
"KDM4A",4406,5091,3370,4898,12232,8984
"ENSG00000230027",8,11,0,16,18,10
"TTLL7-IT1",34,8,11,0,4,2
"ENSG00000272094",0,6,0,0,2,0
"NEGR1-IT1",0,0,0,0,0,0
"CAPNS1P1",0,0,0,0,0,0
"LINC02777",18,6,2,12,24,21
"ENSG00000260386",0,0,0,0,0,0
"LOC128125817",0,0,0,0,0,0
"ZNHIT6",2714,3506,2481,3244,6004,5785
"MGC27382",0,0,0,0,1,0
"MROH7",8,2,2,0,13,11
"LOC105378710",0,0,0,0,1,8
"ENSG00000225605",0,1,0,0,3,0
"ENSG00000225446",79,66,16,59,54,13
"ENSG00000288543",15,21,21,18,39,42
"PTGFR",272,158,200,244,1011,330
"LINC02801",0,0,0,0,0,0
"EEF1GP7",4,2,0,4,2,4
"LMO4",14777,14175,7873,14095,16853,9735
"RPL17P6",415,2410,404,3029,2266,2757
"PRPF38A",11332,13240,10758,10115,18362,16209
"PIGK",5978,4811,2028,3600,5930,4546
"HNRNPA3P12",0,6,6,15,7,10
"ST6GALNAC3",13998,11681,5896,8437,14775,15986
"ENSG00000230953",21,1,6,2,6,1
"ENSG00000287743",32,27,4,14,81,17
"ENSG00000229332",0,0,0,0,0,0
"MTND2P30",0,0,0,0,0,0
"RPL7P10",0,0,0,2,2,0
"PKN2-AS1",38,20,24,21,34,21
"LOC105378810",0,0,0,0,0,0
"ENSG00000233216",0,0,0,0,0,0
"GUCA2A",0,0,0,0,0,0
"ENSG00000226804",1,0,2,0,0,0
"ENSG00000230728",2,5,0,2,0,0
"SLC25A6P3",0,0,0,0,0,0
"PSAT1P3",0,0,0,2,2,4
"DOCK7",7752,5585,2257,2778,15105,12455
"ENSG00000223920",0,0,0,0,0,0
"ENSG00000237453",0,0,0,2,2,4
"NEGR1",4375,3282,1725,2804,3821,1143
"ENSG00000285473",2,0,0,2,0,0
"ENSG00000237959",0,0,0,0,0,0
"LOC105375358",0,0,0,0,0,0
"ENSG00000234578",0,0,0,0,0,0
"FAAH",7449,5967,721,840,4215,1813
"KYAT3",4036,4667,4029,5338,5992,6206
"ENSG00000229505",10,1,0,0,0,0
"LOC100421400",0,0,0,2,6,2
"ENSG00000285201",2,0,0,0,0,0
"SHISAL2A",56,92,36,88,205,189
"ENSG00000236407",0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0
"DNTTIP2",12345,9596,6738,5934,11372,11202
"ENSG00000235011",0,0,0,0,0,0
"RPS2P13",0,0,8,1,3,0
"ENSG00000226938",0,0,0,0,0,0
"HNRNPA1P64",0,0,0,0,0,2
"ENSG00000287587",30,28,7,8,34,21
"PTPRF",152960,155269,83096,87030,235948,158231
"DHCR24",5193,10187,10578,13784,11355,21928
"ENSG00000232882",6,23,2,4,48,26
"COL24A1",113,65,50,83,193,412
"BSND",2,6,0,6,14,52
"GPX7",5319,4910,1137,4245,5969,5029
"SLC44A3",1196,1937,1126,1423,2298,1416
"ACTG1P21",0,0,0,0,1,0
"LINC01362",0,0,2,0,2,0
"PKN2",12454,10730,8302,5995,15023,13237
"DAB1-AS1",0,0,0,0,6,0
"MTCO1P21",0,0,0,0,0,0
"RPS2P11",0,6,2,2,0,2
"ENSG00000237899",29,13,0,5,54,18
"LOC100418965",0,0,0,0,0,0
"LINC01364",0,7,0,0,4,0
"ENSG00000229486",6,0,0,0,0,0
"ENSG00000282898",0,0,0,0,0,0
"ENSG00000285409",0,0,0,0,0,0
"MIR4422HG",0,2,0,0,0,0
"ABCD3",11175,9786,3246,5154,14648,9645
"MROH7-TTC4",1,1,2,0,2,1
"ALG14",992,828,395,581,1148,878
"ZZZ3",8287,5779,8077,5875,10782,10708
"ENSG00000287724",0,0,6,0,0,0
"YIPF1",3725,4030,2769,3531,5846,3490
"LOC100131348",0,2,0,0,0,0
"ENSG00000287870",38,26,30,43,55,46
"ENSG00000235563",49,18,181,26,35,21
"HNRNPCP9",0,0,0,0,0,0
"ENSG00000232857",0,0,0,0,0,0
"ENSG00000273637",0,0,0,0,0,0
"LDLRAD1",0,4,4,43,0,0
"ENSG00000228838",0,0,5,0,4,0
"ENSG00000283761",25,36,37,33,64,52
"GJB4",2,1,8,1,0,0
"ENSG00000230759",0,0,0,0,2,0
"LOC100652967",4,0,0,0,1,0
"TMEM125",14,21,6,29,61,38
"DMRTA2",28,38,50,146,36,171
"ENSG00000285525",0,0,0,0,4,0
"LOC124905716",0,0,0,0,0,0
"ENSG00000233514",6,12,0,2,14,4
"HIVEP3",4357,4223,4444,4803,6380,5438
"ENSG00000266993",25,26,25,2,30,31
"ENSG00000223675",0,2,0,1,2,0
"TM2D1",6709,3953,3420,3577,3902,2995
"ENSG00000229316",0,0,0,0,0,0
"SCP2",22669,19474,8240,12809,24554,14932
"ENSG00000287406",49,10,0,3,41,14
"FAF1-AS1",0,0,2,1,1,1
"ENSG00000234099",0,0,0,0,2,1
"BCAR3",765,765,1428,1861,1999,2795
"ENSG00000235308",10,16,0,0,7,8
"MTCO3P21",0,0,0,0,0,0
"ENSG00000235829",6,0,0,0,0,0
"BARHL2",766,1219,616,1789,4737,1766
"ENSG00000226745",0,2,0,0,0,0
"DMAP1",7634,7872,3687,5598,11091,7062
"ENSG00000280040",6,0,0,2,14,5
"AHCYL1",29638,34256,24534,30832,39939,33496
"CNN3",27562,37684,30924,42423,40486,67336
"ENSG00000270507",0,0,0,0,0,0
"OOSP1P1",0,0,0,0,0,0
"ENSG00000215869",5,2,0,2,3,4
"VAV3",481,318,277,467,854,330
"ENSG00000227935",0,0,0,0,4,2
"ENSG00000228502",101,214,132,313,207,204
"LINC01361",30,16,4,6,14,7
"ENSG00000271277",0,0,0,0,0,0
"ENSG00000236888",0,0,2,0,1,0
"ENSG00000279778",0,0,0,0,2,0
"ENSG00000230955",0,0,0,0,0,0
"ENSG00000230828",0,0,0,0,0,0
"DPYD",3966,4446,1818,3254,3740,6989
"TLCD4",1544,2051,1817,2879,1884,2735
"ENSG00000237279",0,0,0,0,0,0
"ENSG00000233359",0,0,0,0,0,0
"ENSG00000237954",0,0,0,0,6,0
"POU3F1",7837,8720,20137,18414,9513,19437
"LRRC8D",3761,4928,4972,5935,7617,4946
"ENSG00000233129",0,0,0,0,1,0
"S1PR1",3071,4926,8075,7972,3381,4979
"ENSG00000258634",1273,1783,1301,1899,2469,1743
"ENSG00000233557",0,0,0,0,0,0
"ENSG00000237897",6,0,2,2,0,0
"ELAPOR1",1233,1416,505,735,1410,532
"ARHGAP29",2279,1970,4887,2161,3338,3543
"ENSG00000227832",0,0,0,0,0,0
"ENSG00000286692",0,4,0,4,4,0
"ENSG00000260464",211,139,83,103,662,105
"LINC02790",0,0,0,0,0,0
"ENSG00000231996",0,0,0,0,0,0
"ENSG00000273204",10,24,29,8,37,23
"PGM1",6002,9521,3578,7219,10047,18032
"IGSF21",12135,19914,12907,21763,16802,7571
"COA7",4292,3945,3284,2924,7231,4569
"RNPC3-DT",40,11,14,30,19,21
"ENSG00000215871",2,2,0,0,0,0
"ENSG00000287372",0,0,0,0,0,0
"ENSG00000232542",0,0,6,0,0,3
"OLFML3",136,207,58,136,843,448
"ENSG00000287756",0,3,0,0,0,11
"ENSG00000284652",67,142,7,163,145,121
"GCLM",3512,3193,2122,3981,3283,3164
"TGFBR3",1032,1369,4084,2857,1804,2945
"ENSG00000232185",0,0,0,0,4,0
"VAV3-AS1",2,1,0,0,0,0
"RPS20P6",0,14,2,14,4,4
"RPL21P23",1,0,0,0,2,3
"ENSG00000224685",0,0,0,0,0,0
"ENSG00000287076",46,47,2,28,234,42
"ENSG00000237480",2,0,6,0,4,0
"ENSG00000271252",0,0,0,0,0,0
"ENSG00000230427",5,0,2,12,1,7
"MTND3P21",0,0,0,0,0,0
"ENSG00000286758",15,8,0,0,18,11
"ELAVL4-AS1",22,7,0,0,30,2
"LOC124904580",0,0,0,0,0,0
"SZT2",8939,3529,3454,1251,10700,4890
"ENSG00000225183",0,2,0,0,1,0
"ENSG00000230402",0,0,0,0,0,0
"PHTF1",6751,7589,3252,4579,14191,10734
"ENSG00000238122",0,0,0,0,0,0
"ENSG00000260879",0,0,0,0,0,0
"ENSG00000283354",0,0,0,0,0,0
"RPL21P26",0,0,0,0,0,0
"ENSG00000236360",0,1,0,0,0,1
"RPSAP19",21,13,51,10,46,10
"ENSG00000234332",0,0,4,0,0,0
"F3",247,193,206,672,413,469
"FTH1P22",0,0,0,0,0,0
"RPL7L1P21",0,0,0,0,0,0
"ENSG00000224238",0,0,0,3,0,0
"LINC01739",0,0,0,0,0,0
"ENSG00000162699",0,0,0,0,0,0
"VCAM1",610,178,362,440,820,263
"HSP90B3P",12,1,0,6,0,0
"ENSG00000270457",2,1,0,0,1,2
"HSD3BP2",0,0,0,0,0,0
"LINC01787",0,0,0,0,0,0
"SEC63P1",16,129,4,90,155,134
"CYP4A27P",0,0,0,0,0,0
"LINC01708",0,0,0,0,2,6
"MTATP6P13",0,2,0,0,0,0
"LOC100287840",0,0,0,0,0,0
"ENSG00000229201",0,0,0,0,1,0
"GPR88",108,74,26,37,71,52
"RWDD3",366,457,112,256,557,419
"MAN1A2",18511,14825,12188,12137,14521,12305
"LRIG2-DT",394,609,229,296,462,312
"LPAR3",213,78,10,26,10,44
"ENSG00000228852",30,14,33,20,13,18
"LINC02868",0,0,0,0,1,2
"ENSG00000233482",0,0,0,0,2,0
"LINC01753",0,0,0,0,0,0
"DPYD-AS1",0,1,2,0,1,2
"CTTNBP2NL",6308,6011,7322,6879,13195,9233
"RPS2P14",133,275,167,323,395,437
"ENSG00000223575",2,0,2,0,2,2
"LINC01676",0,0,0,1,0,2
"LINC01525",0,0,0,0,0,0
"ENSG00000272715",17,30,23,27,24,6
"ENSG00000235038",4,2,0,0,1,0
"STRIP1",8557,7453,3893,3493,13203,6924
"ENSG00000226415",629,1829,97,540,1234,1079
"SLC25A24",6556,5221,3074,4003,11003,8846
"CIMAP3",475,603,943,1304,814,637
"ENSG00000230434",0,0,5,0,0,0
