"","E5C3_E8","E5C3_L3i","H9_E8","H9_L3i","RUES02_E8","RUES02_L3i"
"ENSG00000218089",0,0,0,2,0,0
"ENSG00000261970",2,6,1,7,1,6
"ENSG00000227706",2,0,2,0,0,0
"ENSG00000237987",0,0,0,0,0,0
"ENSG00000232197",0,0,0,0,0,0
"ENSG00000285610",0,0,0,0,0,0
"ENSG00000218776",0,0,0,0,0,0
"ENSG00000286875",0,1,0,1,2,1
"ENSG00000112208",1048,5735,1057,4087,926,3479
"ENSG00000215807",0,0,0,4,0,4
"ENSG00000231046",2,1,0,0,0,0
"ENSG00000226541",0,0,0,0,0,0
"ENSG00000213121",0,0,0,0,0,0
"ENSG00000287690",0,2,2,0,0,0
"ENSG00000198945",1378,1398,2374,1494,1687,1374
"ENSG00000225532",0,0,0,0,0,0
"ENSG00000233682",2,0,8,1,1,4
"ENSG00000272137",2,9,1,6,4,4
"ENSG00000216809",2,14,4,22,2,25
"ENSG00000217770",0,0,0,0,0,0
"ENSG00000177468",13,2150,74,495,48,171
"ENSG00000124767",12235,12028,17457,13807,14733,11026
"ENSG00000224478",0,2,2,0,1,1
"ENSG00000217811",0,0,0,0,0,0
"ENSG00000287411",0,0,0,0,0,1
"ENSG00000112210",656,1020,1308,1295,751,1091
"ENSG00000217272",0,0,0,0,0,0
"ENSG00000273100",0,0,0,0,0,0
"ENSG00000226032",0,0,0,0,0,0
"ENSG00000131023",2294,2366,3308,2618,2185,2185
"ENSG00000219361",8,1,7,4,0,1
"ENSG00000217227",0,0,0,2,0,0
"ENSG00000234768",0,0,0,0,0,0
"ENSG00000091844",455,70,944,62,446,78
"ENSG00000230202",144,206,288,254,151,131
"ENSG00000164488",144,155,447,292,216,235
"ENSG00000196376",792,1487,1767,968,704,585
"ENSG00000218426",608,552,1015,627,501,376
"ENSG00000260418",14,6,14,9,11,6
"ENSG00000230423",0,0,0,2,0,0
"ENSG00000287056",0,0,0,0,0,0
"ENSG00000164442",1698,4748,6518,6966,3251,4869
"ENSG00000237312",0,0,0,0,0,0
"ENSG00000243828",0,0,0,0,0,0
"ENSG00000154269",10,6,6,15,4,2
"ENSG00000243439",0,0,0,0,0,0
"ENSG00000275859",0,0,0,0,0,0
"ENSG00000201185",0,2,0,0,0,0
"ENSG00000265083",0,0,0,0,0,0
"ENSG00000221583",0,0,0,0,0,0
"ENSG00000240936",0,0,0,0,0,0
"ENSG00000201483",0,0,0,0,0,0
"ENSG00000207419",0,0,0,0,0,0
"ENSG00000206960",0,0,0,0,0,0
"ENSG00000277473",0,0,0,0,0,0
"ENSG00000202313",0,0,0,0,0,0
"ENSG00000201367",0,0,2,0,0,0
"ENSG00000263705",0,0,0,0,0,0
"ENSG00000263712",0,1,1,1,0,0
"ENSG00000276019",0,0,0,0,0,0
"ENSG00000201519",0,0,0,0,0,0
"ENSG00000207775",0,0,0,0,0,0
"ENSG00000238987",0,0,0,0,0,0
"ENSG00000242989",0,0,0,0,0,0
"ENSG00000223321",0,0,0,0,0,0
"ENSG00000201415",0,0,0,0,0,0
"ENSG00000251830",0,0,0,0,0,0
"ENSG00000200681",0,0,0,0,0,0
"ENSG00000201683",0,2,0,1,0,0
"ENSG00000277411",1,1,0,0,0,4
"ENSG00000251831",0,0,0,0,0,0
"ENSG00000240869",0,0,2,4,0,0
"ENSG00000199715",0,0,0,0,0,0
"ENSG00000222431",0,0,0,0,1,1
"ENSG00000207394",0,0,0,0,0,0
"ENSG00000263426",6,2,7,7,6,2
"ENSG00000222515",0,2,2,4,0,4
"ENSG00000251877",0,0,0,0,0,0
"ENSG00000201523",0,0,0,0,0,0
"ENSG00000244618",0,0,0,0,0,0
"ENSG00000200957",0,0,0,0,0,0
"ENSG00000252046",0,0,0,0,0,0
"ENSG00000201442",0,0,0,0,0,0
"ENSG00000212240",1,3,0,1,3,2
"ENSG00000266509",0,0,0,0,0,0
"ENSG00000263894",0,0,0,0,0,0
"ENSG00000240733",0,0,0,0,0,0
"ENSG00000242014",0,0,0,0,0,0
"ENSG00000239953",0,0,0,1,0,0
"ENSG00000243313",0,0,0,0,0,0
"ENSG00000212176",0,0,0,0,0,0
"ENSG00000276746",0,0,1,0,0,0
"ENSG00000200597",0,0,0,0,0,0
"ENSG00000206745",0,0,0,0,0,0
"ENSG00000252990",0,0,0,0,0,0
"ENSG00000239964",0,0,0,1,0,5
"ENSG00000276770",0,1,0,0,0,0
"ENSG00000265439",0,0,0,0,0,0
"ENSG00000212468",0,0,0,0,0,0
"ENSG00000244297",0,0,0,0,0,0
"ENSG00000284427",0,0,0,0,0,0
"ENSG00000212586",0,0,0,0,0,0
"ENSG00000200706",0,0,0,0,1,0
"ENSG00000199938",0,0,0,0,0,0
"ENSG00000266619",0,0,0,0,0,0
"ENSG00000207076",0,0,0,0,0,0
"ENSG00000207769",0,0,0,0,0,0
"ENSG00000212532",0,0,0,0,0,0
"ENSG00000264056",1,0,3,0,0,0
"ENSG00000252457",0,0,0,0,0,0
"ENSG00000199762",0,0,0,0,0,0
"ENSG00000206908",0,0,0,0,0,0
"ENSG00000240641",0,0,0,0,0,0
"ENSG00000251965",0,0,0,0,0,0
"ENSG00000212229",0,0,0,0,0,0
"ENSG00000251946",0,0,0,0,0,0
"ENSG00000238949",0,0,0,0,0,0
"ENSG00000238697",0,0,0,0,0,0
"ENSG00000212017",0,0,0,0,0,0
"ENSG00000207827",0,0,0,0,0,0
"ENSG00000199094",0,0,0,0,0,0
"ENSG00000272445",0,0,0,0,0,0
"ENSG00000206886",1,0,1,0,0,0
"ENSG00000206672",0,0,0,0,0,0
"ENSG00000252156",0,0,0,0,0,0
"ENSG00000252137",0,0,0,0,0,0
"ENSG00000223169",0,0,0,0,0,0
"ENSG00000201015",0,0,0,0,0,0
"ENSG00000223044",2,3,0,2,0,0
"ENSG00000253010",0,0,0,0,0,0
"ENSG00000212336",0,0,0,0,0,0
"ENSG00000223001",0,0,0,0,0,0
"ENSG00000207180",0,0,0,0,0,0
"ENSG00000252249",0,1,0,0,0,0
"ENSG00000222652",0,0,0,0,0,0
"ENSG00000243124",0,0,0,0,0,0
"ENSG00000240961",0,0,0,0,0,0
"ENSG00000263734",0,0,0,0,0,0
"ENSG00000265226",0,0,0,0,0,0
"ENSG00000202283",0,0,0,0,0,0
"ENSG00000263479",0,0,0,0,0,0
"ENSG00000199303",0,0,0,0,0,0
"ENSG00000202069",0,0,0,0,0,0
"ENSG00000200492",0,0,0,0,0,0
"ENSG00000242560",0,0,0,0,0,0
"ENSG00000221455",0,0,0,0,0,0
"ENSG00000238386",2,1,4,2,0,0
"ENSG00000252125",0,0,0,0,0,0
"ENSG00000238367",0,0,0,0,0,0
"ENSG00000212147",0,0,0,2,0,0
"ENSG00000266760",0,0,0,0,0,0
"ENSG00000273744",0,0,0,1,0,0
"ENSG00000244710",0,1,0,0,1,0
"ENSG00000252444",0,0,0,0,0,0
"ENSG00000200522",0,0,0,0,0,0
"ENSG00000201386",0,0,0,0,0,0
"ENSG00000206857",0,0,0,0,0,0
"ENSG00000200926",0,0,0,2,0,0
"ENSG00000252498",15,10,15,13,9,9
"ENSG00000200040",0,0,0,0,0,0
"ENSG00000251814",0,0,0,0,0,0
"ENSG00000252944",0,0,3,0,0,0
"ENSG00000207403",0,0,0,0,0,0
"ENSG00000200091",2,0,1,1,1,0
"ENSG00000200310",0,0,0,0,0,0
"ENSG00000207044",0,0,0,0,0,0
"ENSG00000222713",0,0,0,0,0,0
"ENSG00000239316",0,0,1,0,1,0
"ENSG00000222445",0,0,0,0,0,0
"ENSG00000207461",0,0,0,0,0,0
"ENSG00000207632",0,0,0,1,0,0
"ENSG00000201613",0,0,0,0,0,0
"ENSG00000201379",0,0,0,0,0,0
"ENSG00000202438",0,0,0,0,0,0
"ENSG00000206598",0,0,0,0,0,0
"ENSG00000265725",0,0,0,0,0,0
"ENSG00000251920",0,0,0,0,0,0
"ENSG00000251882",0,0,0,0,0,0
"ENSG00000199944",0,0,0,0,0,0
"ENSG00000252560",0,0,0,0,0,0
"ENSG00000199932",0,0,0,0,0,0
"ENSG00000199458",0,5,0,0,1,0
"ENSG00000266875",0,0,0,0,0,0
"ENSG00000206754",10,51,18,31,12,41
"ENSG00000283409",4,1,5,2,3,1
"ENSG00000266555",0,3,1,2,1,1
"ENSG00000222649",0,0,0,0,0,0
"ENSG00000207345",0,0,0,0,0,0
"ENSG00000221500",12,51,20,36,11,40
"ENSG00000207982",0,0,0,0,0,0
"ENSG00000200732",0,1,1,0,1,1
"ENSG00000200534",39,98,51,89,33,82
"ENSG00000200058",3,0,0,0,4,0
"ENSG00000201309",0,0,0,0,0,0
"ENSG00000206982",0,0,0,0,0,0
"ENSG00000238789",0,0,0,0,0,0
"ENSG00000200198",0,0,0,0,0,0
"ENSG00000199246",0,0,0,0,0,0
"ENSG00000222806",0,0,0,0,0,0
"ENSG00000222659",0,0,0,0,0,0
"ENSG00000201628",0,0,0,0,0,0
"ENSG00000238616",0,0,0,0,0,0
"ENSG00000201939",0,0,0,0,0,0
"ENSG00000222764",1,0,2,1,0,0
"ENSG00000238594",0,0,0,0,0,0
"ENSG00000221456",0,0,0,0,0,0
"ENSG00000240606",0,0,0,0,0,0
"ENSG00000266245",0,0,0,0,0,0
"ENSG00000212295",0,0,0,0,0,0
"ENSG00000223191",0,0,0,0,0,0
"ENSG00000276680",0,0,0,0,0,0
"ENSG00000264017",0,1,3,0,0,0
"ENSG00000223203",2,2,4,0,1,0
"ENSG00000202343",3,3,3,4,7,9
"ENSG00000207292",1,0,0,0,0,0
"ENSG00000220871",0,1,0,2,0,0
"ENSG00000217653",9,15,5,7,9,16
"ENSG00000199630",2,0,3,2,0,1
"ENSG00000218300",0,0,0,0,0,0
"ENSG00000219240",0,2,0,0,0,0
"ENSG00000135355",0,13,0,14,0,4
"ENSG00000252891",0,0,0,0,0,0
"ENSG00000226455",2,0,1,0,4,0
"ENSG00000222078",0,0,0,0,0,0
"ENSG00000118412",1618,3493,3045,3082,1684,2672
"ENSG00000285598",0,0,0,0,0,0
"ENSG00000201119",0,0,0,0,0,0
"ENSG00000217612",0,2,0,4,2,0
"ENSG00000270638",9,17,24,14,19,3
"ENSG00000270828",0,0,0,0,0,0
"ENSG00000288551",6,4,6,0,0,3
"ENSG00000288056",8,32,22,23,0,16
"ENSG00000280184",6,40,26,39,11,15
"ENSG00000118496",2534,4626,4787,3994,2903,3315
"ENSG00000223586",0,0,0,1,0,0
"ENSG00000028839",1186,1535,1826,1350,1111,1167
"ENSG00000288529",0,0,0,0,0,0
"ENSG00000118526",0,0,9,105,0,55
"ENSG00000174156",0,29,0,34,2,18
"ENSG00000288014",0,0,0,0,0,0
"ENSG00000170899",967,2781,2451,2181,1106,1466
"ENSG00000202198",0,0,0,0,0,0
"ENSG00000283293",0,0,0,0,0,0
"ENSG00000288614",0,0,0,0,0,0
"ENSG00000242865",0,0,0,0,0,0
"ENSG00000261745",0,0,0,0,0,0
"ENSG00000137270",4,2,6,2,3,0
"ENSG00000253026",0,0,0,0,0,0
"ENSG00000219074",0,1,0,0,0,0
"ENSG00000217539",0,2,9,0,0,0
"ENSG00000199851",0,0,0,0,0,0
"ENSG00000217315",0,0,0,0,0,0
"ENSG00000187763",0,0,0,0,0,2
"ENSG00000272009",1,8,5,5,2,2
"ENSG00000182477",0,0,0,0,0,0
"ENSG00000168126",0,3,0,2,0,2
"ENSG00000124657",0,49,8,0,4,8
"ENSG00000214374",0,0,0,2,0,1
"ENSG00000216629",0,0,0,0,0,0
"ENSG00000218226",182,275,126,278,117,190
"ENSG00000278571",0,0,0,0,0,0
"ENSG00000227598",14,22,28,28,21,8
"ENSG00000285730",15,92,23,40,11,39
"ENSG00000265828",1,6,2,1,1,5
"ENSG00000284825",0,0,0,0,0,0
"ENSG00000284914",0,1,0,3,0,0
"ENSG00000286674",0,0,0,3,0,0
"ENSG00000216966",0,0,0,7,2,2
"ENSG00000231720",16,31,29,22,10,15
"ENSG00000228648",55,58,70,34,46,23
"ENSG00000112494",40,86,83,467,38,300
"ENSG00000120440",14,21,43,26,4,17
"ENSG00000217447",5,4,4,5,2,3
"ENSG00000135312",98,92,131,161,52,100
"ENSG00000219607",20,9,43,45,6,12
"ENSG00000111913",3259,163,5722,1034,1124,605
"ENSG00000164465",777,1142,1050,1376,589,1362
"ENSG00000118482",8612,8905,12625,8370,6874,7607
"ENSG00000146242",2332,1984,4963,2095,1559,1950
"ENSG00000189241",3039,4609,5574,4681,3422,4715
"ENSG00000112246",2,0,20,0,8,2
"ENSG00000124789",7594,12919,10916,11805,7878,10109
"ENSG00000120436",0,6,0,0,0,4
"ENSG00000198670",1,3,4,2,0,0
"ENSG00000145982",627,1095,739,1172,508,703
"ENSG00000112238",2,30,0,10,8,14
"ENSG00000047579",935,891,1209,923,623,686
"ENSG00000008197",0,4,0,0,0,0
"ENSG00000137393",231,345,272,184,215,180
"ENSG00000168994",373,757,628,1233,154,675
"ENSG00000009765",0,0,0,0,0,0
"ENSG00000287268",4,2,2,0,0,0
"ENSG00000004809",2,0,0,0,6,2
"ENSG00000241162",0,0,0,0,0,0
"ENSG00000260188",0,0,0,0,0,0
"ENSG00000203797",4,0,0,0,0,0
"ENSG00000124535",2536,3486,3605,2870,1953,3134
"ENSG00000021355",829,1037,1646,2553,860,1260
"ENSG00000266750",0,0,5,0,0,1
"ENSG00000170542",24422,33872,4183,56174,10069,21454
"ENSG00000232999",0,0,0,0,0,0
"ENSG00000228365",1,0,0,0,0,0
"ENSG00000124570",1950,3197,1738,4699,1390,4205
"ENSG00000244041",185,94,355,75,142,48
"ENSG00000224846",11,3,59,15,7,3
"ENSG00000271361",19,16,18,10,7,24
"ENSG00000288612",50,68,58,20,17,60
"ENSG00000274855",0,0,0,0,0,0
"ENSG00000232654",0,0,4,2,0,2
"ENSG00000217707",0,0,0,0,0,0
"ENSG00000229282",28,6,24,3,26,6
"ENSG00000272277",26,64,36,48,17,25
"ENSG00000222248",0,0,0,0,0,0
"ENSG00000137274",1161,1232,2119,1111,1300,998
"ENSG00000228170",0,0,0,0,0,0
"ENSG00000216819",25,56,32,35,12,29
"ENSG00000202050",0,0,0,0,0,0
"ENSG00000112293",309,622,598,281,310,318
"ENSG00000112294",598,590,916,356,699,496
"ENSG00000218186",1,0,2,2,0,2
"ENSG00000111802",3337,4306,4073,3796,3011,3708
"ENSG00000112304",3228,2095,2737,1331,2395,1188
"ENSG00000272345",11,17,4,19,8,14
"ENSG00000272402",6,12,11,10,1,8
"ENSG00000206702",1,0,0,1,0,0
"ENSG00000145979",1968,1368,2358,1269,1890,1062
"ENSG00000272379",0,3,0,0,0,0
"ENSG00000234015",0,0,0,0,0,0
"ENSG00000112425",225,370,509,410,258,345
"ENSG00000112367",3485,1684,4107,1365,2647,1431
"ENSG00000207193",0,0,0,0,0,0
"ENSG00000137198",61,269,69,475,30,454
"ENSG00000282024",282,2770,15,5636,33,4070
"ENSG00000272341",93,45,90,74,31,53
"ENSG00000229281",0,0,0,0,0,0
"ENSG00000213886",0,1,0,1,0,0
"ENSG00000232173",0,0,14,4,0,1
"ENSG00000227609",0,1,2,0,4,0
"ENSG00000201330",0,0,3,0,0,0
"ENSG00000231301",0,0,9,2,0,0
"ENSG00000235238",15,30,40,39,31,24
"ENSG00000204655",14,152,22,51,28,87
"ENSG00000233916",5,0,8,1,7,0
"ENSG00000204642",434,94,444,59,201,58
"ENSG00000225864",0,0,0,0,0,0
"ENSG00000214922",161,31,334,10,85,14
"ENSG00000239257",0,0,0,0,0,0
"ENSG00000273340",100,7,137,1,18,10
"ENSG00000227758",7,5,20,0,1,2
"ENSG00000199290",2,0,5,0,2,0
"ENSG00000235821",21,3,21,0,8,1
"ENSG00000272236",4,1,10,0,0,1
"ENSG00000285761",37,4,70,0,20,7
"ENSG00000270896",1,0,0,0,0,0
"ENSG00000176998",21,0,37,0,16,0
"ENSG00000261548",3,0,1,0,0,0
"ENSG00000213880",0,0,2,14,0,2
"ENSG00000237042",0,0,1,0,0,0
"ENSG00000205318",6,9,8,10,4,3
"ENSG00000285763",5,29,42,23,19,29
"ENSG00000201048",0,0,0,0,0,0
"ENSG00000111845",2767,5078,2954,4608,2405,3306
"ENSG00000111843",5757,5158,7501,4139,4676,3894
"ENSG00000272097",11,17,19,11,17,19
"ENSG00000137210",1895,1900,2753,1784,1704,1349
"ENSG00000272162",0,0,0,0,0,0
"ENSG00000222383",4,22,3,5,0,8
"ENSG00000111837",30,55,57,27,47,23
"ENSG00000124827",10,2,6,0,8,6
"ENSG00000235051",3,1,7,0,0,0
"ENSG00000204644",355,61,161,23,1027,342
"ENSG00000220305",2,13,0,2,0,6
"ENSG00000251988",0,11,3,0,0,3
"ENSG00000146457",3496,6614,6369,6911,3440,5158
"ENSG00000285427",8,9,21,10,7,12
"ENSG00000120437",4049,7933,9560,8160,4470,5146
"ENSG00000120438",19833,30644,28070,28656,16491,21769
"ENSG00000207392",1,25,6,13,4,7
"ENSG00000206910",0,0,0,0,0,0
"ENSG00000112110",2659,5126,3634,4331,2624,3422
"ENSG00000146453",3,46,7,14,3,11
"ENSG00000146223",6008,10498,8923,9376,7049,9003
"ENSG00000221821",132,160,267,194,76,123
"ENSG00000288010",0,2,0,0,2,0
"ENSG00000171611",0,0,0,0,3,0
"ENSG00000231113",20,71,110,45,36,48
"ENSG00000181524",350,326,490,492,240,230
"ENSG00000124713",27,15,21,20,66,11
"ENSG00000124587",2170,2806,4138,2380,1575,1803
"ENSG00000112640",3445,3745,5512,3925,3510,3349
"ENSG00000124733",2203,2746,3334,2285,1977,1926
"ENSG00000124541",1949,6255,3007,6418,2210,4474
"ENSG00000272223",13,12,16,6,8,12
"ENSG00000240625",0,3,8,1,5,3
"ENSG00000137171",1561,1975,2361,1734,1367,1825
"ENSG00000112651",638,605,777,585,546,480
"ENSG00000272170",6,6,19,9,5,7
"ENSG00000112655",12818,16975,26309,19138,12626,18232
"ENSG00000112658",8497,9381,12098,7205,8538,7787
"ENSG00000112659",1241,855,2201,703,796,942
"ENSG00000245261",0,0,0,0,0,0
"ENSG00000112667",1540,1273,3283,1137,1719,851
"ENSG00000217483",0,0,0,0,0,0
"ENSG00000181514",0,0,0,0,0,0
"ENSG00000285844",0,2,5,8,5,6
"ENSG00000266180",0,0,0,0,0,0
"ENSG00000232422",4,2,2,2,0,0
"ENSG00000220515",0,2,1,12,4,12
"ENSG00000229154",0,0,0,2,2,0
"ENSG00000234025",0,0,5,0,0,0
"ENSG00000243501",0,0,0,0,0,0
"ENSG00000251360",0,0,0,0,0,0
"ENSG00000256980",0,0,2,0,2,0
"ENSG00000229852",167,155,425,118,157,90
"ENSG00000239626",0,1,0,0,0,0
"ENSG00000234882",0,0,0,0,0,0
"ENSG00000223389",0,0,0,0,0,0
"ENSG00000226840",2,0,0,2,0,0
"ENSG00000203909",88,4,12,10,40,6
"ENSG00000203908",6,2,4,10,0,6
"ENSG00000231332",0,0,1,0,0,0
"ENSG00000235174",123,139,175,127,64,53
"ENSG00000224221",4,0,0,0,2,0
"ENSG00000080007",54,2,9,1,24,4
"ENSG00000250686",16,0,67,0,10,0
"ENSG00000112232",379,73,978,98,346,61
"ENSG00000287679",0,0,4,0,3,0
"ENSG00000112599",205,58,437,85,124,34
"ENSG00000048544",2017,2167,3098,2383,2216,1900
"ENSG00000233941",0,0,0,0,0,0
"ENSG00000112297",1683,263,2016,467,1633,393
"ENSG00000207499",0,0,0,0,0,0
"ENSG00000202386",0,0,0,0,0,0
"ENSG00000282408",0,0,1,0,0,0
"ENSG00000200314",0,0,0,0,0,0
"ENSG00000130347",923,871,1154,715,835,636
"ENSG00000200295",0,0,0,0,0,0
"ENSG00000130348",2017,2464,2751,1942,1635,1547
"ENSG00000216977",0,0,0,0,0,4
"ENSG00000229654",0,0,0,0,0,0
"ENSG00000202285",0,0,0,0,0,0
"ENSG00000207577",0,0,0,0,0,0
"ENSG00000212587",0,0,0,0,0,0
"ENSG00000199360",0,0,0,0,0,0
"ENSG00000213149",13,2,15,8,22,9
"ENSG00000271607",0,1,0,2,0,0
"ENSG00000123505",9059,17878,11799,17992,9223,13860
"ENSG00000219329",5,3,2,12,0,3
"ENSG00000155115",1830,3767,3247,4259,1928,2993
"ENSG00000197498",3142,5017,3486,3469,2430,3188
"ENSG00000218803",0,0,0,3,0,0
"ENSG00000200594",2,2,3,1,1,2
"ENSG00000218757",0,2,0,0,0,0
"ENSG00000264814",0,0,0,0,0,0
"ENSG00000238963",1,1,1,0,0,0
"ENSG00000274451",0,1,0,0,0,0
"ENSG00000235381",126,239,137,93,88,140
"ENSG00000029639",1470,1502,1444,779,980,668
"ENSG00000171217",10,36,20,15,9,14
"ENSG00000232529",0,0,0,0,0,0
"ENSG00000074771",19,0,2,0,7,0
"ENSG00000202241",0,0,0,0,0,0
"ENSG00000237775",2,0,0,0,2,0
"ENSG00000284370",0,0,0,0,0,0
"ENSG00000213780",71,76,108,77,25,68
"ENSG00000288473",3,21,16,10,2,16
"ENSG00000196260",0,0,1,0,3,0
"ENSG00000252761",0,0,0,0,0,0
"ENSG00000168631",17,14,39,5,25,4
"ENSG00000233529",0,0,0,0,0,0
"ENSG00000275906",0,0,0,0,0,0
"ENSG00000204544",0,0,0,0,0,0
"ENSG00000222895",0,0,0,1,0,0
"ENSG00000204542",0,0,0,1,0,0
"ENSG00000204540",28,25,26,56,12,28
"ENSG00000204539",0,0,0,0,0,0
"ENSG00000204538",44,95,50,16,27,19
"ENSG00000238211",0,1,0,0,0,1
"ENSG00000204528",0,4,5,1,0,0
"ENSG00000272501",23,39,21,25,19,31
"ENSG00000271821",1,0,0,0,1,0
"ENSG00000255726",0,0,0,0,0,0
"ENSG00000255899",0,0,0,1,0,0
"ENSG00000137411",33,128,73,68,32,48
"ENSG00000281832",0,0,0,0,0,0
"ENSG00000216624",6,8,9,38,4,10
"ENSG00000287824",0,4,0,0,0,1
"ENSG00000231297",0,0,0,0,0,0
"ENSG00000276643",0,0,0,0,0,0
"ENSG00000201292",0,0,0,0,0,0
"ENSG00000280991",0,0,0,0,0,0
"ENSG00000233365",0,1,0,0,0,2
"ENSG00000213536",0,0,0,0,0,0
"ENSG00000176381",23,16,10,10,10,22
"ENSG00000198818",2497,2311,2785,2044,1909,1891
"ENSG00000233231",10,20,50,18,9,31
"ENSG00000060762",343,820,477,927,210,658
"ENSG00000261420",23,38,90,24,27,27
"ENSG00000280057",18,23,51,22,8,12
"ENSG00000232082",4,2,3,2,3,8
"ENSG00000222958",0,0,0,0,0,0
"ENSG00000164458",4,3938,20,4850,2,3188
"ENSG00000124532",12438,20229,5407,22452,6816,15302
"ENSG00000178409",1480,9262,3207,5178,1766,4828
"ENSG00000085377",4151,4781,7657,5379,5679,4514
"ENSG00000213079",3559,5232,6109,4845,4069,4034
"ENSG00000112144",1126,1712,1840,1704,1134,1643
"ENSG00000203760",1919,2474,2183,2271,1613,1601
"ENSG00000095981",0,0,3,0,1,0
"ENSG00000164484",1244,345,1916,467,1097,389
"ENSG00000135597",3456,5589,6219,6146,3803,4740
"ENSG00000112584",1323,1574,2481,1880,1196,1633
"ENSG00000096060",5356,3536,8649,2228,4928,2593
"ENSG00000146151",13,4,51,20,12,12
"ENSG00000111863",7,13,9,38,4,41
"ENSG00000262543",0,0,0,2,0,6
"ENSG00000214113",2298,1769,3218,1413,2147,1304
"ENSG00000288638",0,885,3,599,2,740
"ENSG00000239472",3,2,6,1,0,0
"ENSG00000215057",0,10,2,77,0,18
"ENSG00000124785",8,67,29,141,0,71
"ENSG00000263572",0,0,0,0,0,0
"ENSG00000283616",0,0,0,0,0,0
"ENSG00000241216",0,0,0,0,0,0
"ENSG00000124491",8,10,64,10,18,27
"ENSG00000288564",0,0,0,0,1,1
"ENSG00000286826",0,0,0,0,2,0
"ENSG00000261039",0,0,0,0,0,0
"ENSG00000226445",24,56,23,42,27,49
"ENSG00000233085",0,0,0,0,0,0
"ENSG00000224999",0,0,0,0,0,0
"ENSG00000276302",1,2,3,1,2,0
"ENSG00000273712",0,2,2,6,2,2
"ENSG00000270326",1,0,3,2,0,0
"ENSG00000216802",0,3,0,8,2,4
"ENSG00000225177",215,392,353,135,146,318
"ENSG00000279968",33,46,60,27,25,24
"ENSG00000225415",0,0,0,0,0,0
"ENSG00000220600",0,0,0,0,0,1
"ENSG00000024862",508,504,957,466,515,547
"ENSG00000219249",0,0,0,0,0,0
"ENSG00000265558",0,0,0,0,0,0
"ENSG00000233893",0,1,2,0,2,1
"ENSG00000216471",0,0,0,10,0,0
"ENSG00000212333",0,0,0,0,0,0
"ENSG00000219284",0,0,0,0,0,0
"ENSG00000218187",0,1,2,0,0,0
"ENSG00000260212",0,0,0,0,0,0
"ENSG00000219699",0,0,0,5,0,0
"ENSG00000281248",0,0,0,0,0,0
"ENSG00000274493",0,0,0,0,0,0
"ENSG00000243955",0,12,16,125,0,40
"ENSG00000223622",0,2,0,0,0,0
"ENSG00000182793",0,0,0,0,0,0
"ENSG00000230375",0,0,0,0,0,0
"ENSG00000096264",0,0,0,0,0,0
"ENSG00000279284",0,0,0,0,0,0
"ENSG00000280371",0,0,0,0,0,0
"ENSG00000226917",0,1,0,0,0,0
"ENSG00000266494",0,1,2,0,0,1
"ENSG00000146039",0,0,0,0,0,2
"ENSG00000124568",0,0,0,0,0,0
"ENSG00000124564",2,1,0,0,0,2
"ENSG00000242387",0,0,0,0,0,0
"ENSG00000277410",0,0,0,0,0,0
"ENSG00000112343",340,583,702,464,170,652
"ENSG00000272558",0,0,0,0,0,0
"ENSG00000272810",3,12,3,5,6,2
"ENSG00000224447",0,2,0,0,0,1
"ENSG00000124610",6,3,0,1,4,2
"ENSG00000275714",4,24,7,24,9,2
"ENSG00000278637",1,4,4,14,0,1
"ENSG00000286522",6,17,11,7,1,24
"ENSG00000278463",0,4,2,12,0,8
"ENSG00000276410",1,0,0,0,0,4
"ENSG00000234816",0,2,0,1,0,4
"ENSG00000287080",0,7,0,0,0,0
"ENSG00000187837",78,2287,203,630,96,1085
"ENSG00000187475",0,0,0,0,0,0
"ENSG00000168298",16,11,76,78,22,26
"ENSG00000283064",1,7,9,4,0,3
"ENSG00000217159",0,0,0,0,0,0
"ENSG00000274290",8,54,51,76,15,42
"ENSG00000277157",0,22,7,19,2,12
"ENSG00000204516",1856,1413,2128,1844,1232,1274
"ENSG00000201680",0,0,0,1,0,0
"ENSG00000256851",0,0,0,0,0,0
"ENSG00000219797",4,18,0,98,4,32
"ENSG00000225499",0,0,0,0,0,0
"ENSG00000204511",2,1,5,0,3,0
"ENSG00000198563",7159,12820,13074,8564,4332,9952
"ENSG00000254870",0,0,0,0,0,0
"ENSG00000201785",24,21,48,7,10,11
"ENSG00000265236",0,0,0,0,0,0
"ENSG00000234006",0,4,5,2,4,2
"ENSG00000226979",11,1,7,2,0,4
"ENSG00000227507",71,2,102,19,17,10
"ENSG00000204482",19,6,50,10,7,2
"ENSG00000204475",8,6,10,0,6,0
"ENSG00000230622",10,4,8,3,2,2
"ENSG00000204472",139,0,380,0,208,8
"ENSG00000200816",4,6,6,5,0,7
"ENSG00000274494",3,6,17,3,0,9
"ENSG00000204444",66,31,181,33,83,36
"ENSG00000204439",726,1113,1215,1301,664,988
"ENSG00000227198",0,0,0,0,0,0
"ENSG00000204438",842,1754,1736,1564,1185,1220
"ENSG00000201207",4,4,4,6,4,0
"ENSG00000263020",0,0,0,0,0,0
"ENSG00000204427",102,249,153,235,81,203
"ENSG00000266776",0,0,0,0,0,0
"ENSG00000204424",1,1,0,0,0,1
"ENSG00000250641",0,0,0,0,0,0
"ENSG00000204421",2,3,10,4,8,4
"ENSG00000204410",207,220,497,128,144,133
"ENSG00000255152",0,0,0,0,0,0
